evidence_id,year,title,authors,evidence_type,method_class,mission_or_task,hardware_status,public_code,public_data_or_source,primary_relevance,quality_status,url,doi
E001,2023,Optimized Trajectory Correction Burn Placement for the Artemis II Crewed Mission,D. Woffinden et al.,primary research,robust classical optimization,Artemis II trajectory correction,simulation,not identified,NASA NTRS,Reference objective crew schedule navigation uncertainty and burn placement,pending full extraction,https://ntrs.nasa.gov/api/citations/20230000223/downloads/Artemis2OptTrajDesignFinal.pdf,
E002,2025,Transcription and optimization of an interplanetary trajectory through quantum annealing,F. De Grossi et al.,primary research,quantum optimization,Earth to Mars low-thrust transfer,D-Wave and hybrid solvers,not yet verified,paper problem instances,Separates quantum optimization from QML and documents present limits,pending full extraction,https://www.sciopen.com/article/10.1007/s42064-024-0216-6,10.1007/s42064-024-0216-6
E003,2024,Better than classical? The subtle art of benchmarking quantum machine learning models,J. Bowles; S. Ahmed; M. Schuld,primary benchmark,QML benchmarking,classical-data classification,quantum simulation,yes,open benchmark datasets,Fair classical comparison and claim discipline,pending full extraction,https://arxiv.org/abs/2403.07059,
E004,2022,A variational quantum algorithm for deep Q-learning,A. Skolik et al.,primary research,quantum reinforcement learning,control benchmark tasks,quantum simulation,yes,benchmark environments,Possible sequential-control extension only after supervised benchmark,pending full extraction,https://quantum-journal.org/papers/q-2022-05-24-720/,10.22331/q-2022-05-24-720
E005,2020,Data re-uploading for a universal quantum classifier,A. Pérez-Salinas et al.,primary research,variational QML,classification,quantum simulation,yes,synthetic benchmarks,Encoding and data re-uploading candidate,pending full extraction,https://quantum-journal.org/papers/q-2020-02-06-226/,10.22331/q-2020-02-06-226
E006,2021,Encoding-dependent generalization bounds for parametrized quantum circuits,M. C. Caro et al.,theory,QML theory,generalization,not applicable,not identified,not applicable,Encoding selection and model-capacity interpretation,pending full extraction,https://quantum-journal.org/papers/q-2021-11-17-582/,10.22331/q-2021-11-17-582
E007,2019,An initialization strategy for addressing barren plateaus in parametrized quantum circuits,E. Grant et al.,primary theory and experiment,QML optimization,variational circuit training,quantum simulation,not identified,synthetic functions,Initialization and trainability controls,pending full extraction,https://quantum-journal.org/papers/q-2019-12-09-214/,10.22331/q-2019-12-09-214
E008,2020,Reinforcement Learning for Low-Thrust Trajectory Design of Interplanetary Missions,A. Zavoli; L. Federici,primary research,classical reinforcement learning,robust Earth to Mars low-thrust guidance,simulation,yes,simulated trajectories,Classical sequential guidance and disturbance design,pending full extraction,https://arxiv.org/abs/2008.08501,
E009,2021,Real-Time Guidance for Low-Thrust Transfers Using Deep Artificial Neural Networks,D. Izzo et al.,primary research,classical deep learning,low-thrust transfer guidance,simulation,not yet verified,simulated optimal trajectories,Strong classical surrogate and closed-loop precedent,pending full extraction,https://arc.aiaa.org/doi/10.2514/1.G005254,10.2514/1.G005254
E010,2021,Multi-Objective Reinforcement Learning for Low-Thrust Transfer Design Between Libration Point Orbits,C. J. Sullivan et al.,primary research,classical reinforcement learning,cislunar low-thrust transfer,simulation,not yet verified,NASA NTRS,Multiobjective cislunar benchmark and validation,pending full extraction,https://ntrs.nasa.gov/api/citations/20210018983/downloads/Multi_Objective_Reinforcement_Learning_for_Low_Thrust_Transfer_Design_between_Libration_Point_Orbits.pdf,
E011,2025,Q-Law for Rapid Assessment of Low Thrust Cislunar Trajectories via Automatic Differentiation,N. Steffen; R. Falck; B. Faller,primary research,classical guidance optimization,cislunar low-thrust trajectory,simulation,not yet verified,NASA NTRS,Low-fidelity physics baseline candidate,pending full extraction,https://ntrs.nasa.gov/api/citations/20240016341/downloads/Nate_Steffen_AAS_Final_Manuscript_with_copyright.pdf,
E012,2024,NASA-STD-7009B Standard for Models and Simulations,NASA,technical standard,model and simulation assurance,NASA model credibility,not applicable,not applicable,public standard,Credibility acceptance uncertainty and reporting requirements,authoritative,https://standards.nasa.gov/sites/default/files/standards/NASA/B/1/NASA-STD-7009B-Final-3-5-2024.pdf,
E013,2025,NASA-STD-3001 Volume 2 Revision E,NASA,technical standard,human system standard,human-rated spacecraft,not applicable,not applicable,public standard,Crew and human-system constraint authority,authoritative,https://standards.nasa.gov/standard/NASA/NASA-STD-3001_VOL_2,
