evidence_id,citation,year,evidence_type,mission_and_task,dynamics_fidelity,objective_and_constraints,uncertainty_treatment,input_data_and_availability,classical_algorithm,quantum_algorithm,quantum_resources,optimizer_and_tuning,split_and_leakage_controls,classical_baselines,primary_metrics,uncertainty_and_statistics,hardware_vs_simulation,code_availability,failure_reporting,reported_limitations,gate4_implication,quality_data_provenance,quality_physics_mission_fidelity,quality_baseline_fairness,quality_split_leakage,quality_statistical_uncertainty,quality_quantum_resource_reporting,quality_hardware_realism,quality_reproducibility,quality_claim_calibration,source_url,doi,screening_status
E001,"Woffinden, Eckman, and Robinson, Optimized Trajectory Correction Burn Placement for the NASA Artemis II Mission",2023,NASA primary mission-design research,Artemis II robust correction-burn placement,"Integrated cislunar GN&C linear covariance model with maneuver, navigation, venting, and crew-timeline effects","Genetic optimization of nominal plus 3-sigma OTC2-RTC3 delta-v; EI ellipse, lunar altitude, burn timing, and optional crew-sleep penalties","Linear covariance propagation of environment, navigation, measurement, process, and actuator uncertainty",Public paper exposes selected assumptions and bounds; mission-owned implementation and full covariance are unavailable,Linear covariance analysis embedded in a genetic algorithm,not_applicable,not_applicable,GA population 60 and 15 generations; authors state runtime motivated the compromise,not_applicable; not a learned surrogate study,Notional burn schedule and three optimization formulations,Robust total correction delta-v and entry-interface dispersion margins,Covariance-based 3-sigma analysis; no public flight covariance or distributional validation,Mission-design simulation only,not_public,Constraint penalties and runtime limitations described,Notional preflight Artemis II analysis; mission-owned details are unavailable,"Defines the primary target, hard constraints, uncertainty variables, and strong numerical reference",strong,strong,partial,not_applicable,strong,not_applicable,not_applicable,partial,strong,https://ntrs.nasa.gov/api/citations/20230000223/downloads/Artemis2OptTrajDesignFinal.pdf,,included_primary_or_authoritative_record
E002,"De Grossi et al., Transcription and Optimization of an Interplanetary Trajectory through Quantum Annealing",2025,primary quantum optimization research,Earth-Mars low-thrust trajectory transcription and optimization,Pseudospectral low-thrust optimal-control transcription,Binary transcription of dynamics and trajectory objective into QUBO form,not_reported_as_primary_design,Paper problem instances; open article,"Linearization, pseudospectral transcription, and hybrid classical-quantum solvers","D-Wave quantum annealing; this is optimization, not QML",Fully quantum and hybrid annealers; implementable dimensions and hardware limits discussed,Binary representation and penalty construction are central design choices,not_applicable,Hybrid and fully quantum solver comparisons; no replacement for supervised QML baselines,Trajectory objective and constraint satisfaction,No confirmatory learned-model seed analysis,D-Wave hardware plus hybrid solvers,not_verified_public,Current hardware dimensional limits explicitly discussed,Earth-Mars case; annealing result cannot establish QML or cislunar advantage,Keep annealing/QAOA outside the registered QML benchmark,partial,partial,partial,unclear,partial,strong,strong,partial,strong,https://link.springer.com/article/10.1007/s42064-024-0216-6,10.1007/s42064-024-0216-6,included_primary_or_authoritative_record
E003,"Bowles, Ahmed, and Schuld, Better than Classical? The Subtle Art of Benchmarking Quantum Machine Learning Models",2024,primary QML benchmark,Fair comparison of 12 QML models on 160 classical-data classification datasets,not_applicable,Classification benchmark with controlled experimental design,Multiple datasets and architectures; no spacecraft uncertainty,Six tasks generating 160 datasets; open benchmark package,Out-of-the-box classical ML comparators,Popular variational and kernel QML classifiers,Classical quantum simulation at small scales; entanglement ablations,Systematic model study with architecture comparisons,Registered benchmark splits in open package,Strong ordinary classical models,Classification performance across datasets,Cross-dataset comparison; negative outcomes retained,Quantum simulation; no hardware-speedup claim,public,Reports classical wins and cases where removing entanglement does not hurt,Small synthetic/classical tasks and simulation do not establish practical quantum advantage,"Require unrestricted classical baselines, entanglement ablation, and negative-result reporting",strong,not_applicable,strong,strong,strong,strong,partial,strong,strong,https://arxiv.org/abs/2403.07059,,included_primary_or_authoritative_record
E004,"Skolik, Jerbi, and Dunjko, Quantum Agents in the Gym: A Variational Quantum Algorithm for Deep Q-Learning",2022,primary variational QRL research,Deep Q-learning on discrete and continuous-state Gym tasks,"Generic control environments, not spacecraft dynamics",Q-value learning under benchmark task rewards,Training stochasticity and architecture sensitivity,Benchmark environments and public paper/code context,Deep Q-network,Parameterized quantum-circuit Q-learning,"Encoding, observables, PQC architecture, and simulation conditions reported",Extensive PQC and neural-network hyperparameter search with parameter comparisons,Environment evaluation; not a held-out regression split,Classical DQN with varying parameter counts,Task return and success,Architecture choices dominate parameter count in reported tasks,Quantum simulation,public_or_linked,Ablates encoding/readout and discusses restricted separation claims,Simple Gym tasks; no spacecraft or hardware advantage,"Use matched classical capacity, fixed observables, encoding ablations, and no control claim in Phase 1",partial,not_applicable,strong,unclear,partial,strong,partial,strong,strong,https://quantum-journal.org/papers/q-2022-05-24-720/,10.22331/q-2022-05-24-720,included_primary_or_authoritative_record
E005,"Perez-Salinas et al., Data Re-uploading for a Universal Quantum Classifier",2020,primary variational QML research,Synthetic single- and multi-qubit classification,not_applicable,Classify complex low-dimensional datasets,Repeated benchmark examples; no mission uncertainty,Synthetic benchmark datasets; public code linked,One-hidden-layer neural-network comparison,RY-like data re-uploading with trainable processing units,"Single- and multi-qubit simulations, depth/layer trade-off, entanglement extension",Classical optimization of circuit parameters,Benchmark-specific; not a mission split,One-hidden-layer neural network,Classification success,No hardware or mission-level uncertainty claim,Classical simulation,public,Explicitly says one-qubit results cannot provide quantum advantage,Classification study; regression transfer requires direct validation,Register data re-uploading but require 4/6/8-qubit and matched MLP comparisons,partial,not_applicable,partial,unclear,partial,strong,weak,strong,strong,https://quantum-journal.org/papers/q-2020-02-06-226/,10.22331/q-2020-02-06-226,included_primary_or_authoritative_record
E006,"Caro et al., Encoding-Dependent Generalization Bounds for Parametrized Quantum Circuits",2021,QML learning-theory research,Generalization bounds for data-encoding PQCs,not_applicable,Bound generalization as a function of encoding and model complexity,Theoretical probabilistic bounds,Theory and numerical illustrations,Learning-theory comparators,Parameterized circuits with encoding-dependent hypothesis classes,Encoding and gate dependence analyzed rather than hardware performance,not_primary,Train/test generalization setting,theoretical,Generalization error bounds,Formal probability bounds,Theory and simulation,unclear,Shows capacity/encoding can weaken generalization guarantees,Bounds do not prove practical advantage,Freeze encoding and report learning curves rather than treating qubit count as capacity proof,partial,not_applicable,partial,unclear,strong,strong,not_applicable,partial,strong,https://quantum-journal.org/papers/q-2021-11-17-582/,10.22331/q-2021-11-17-582,included_primary_or_authoritative_record
E007,"Grant et al., An Initialization Strategy for Addressing Barren Plateaus in Parametrized Quantum Circuits",2019,primary QML optimization research,Trainability of variational circuits,not_applicable,Mitigate vanishing-gradient initialization failures,Random initialization and numerical experiments,Synthetic circuit tasks,Classical optimizer around PQC,Layerwise/identity-block initialization for PQCs,Circuit depth and initialization behavior reported,Initialization is the intervention,not_applicable,Alternative initializations,Gradient/trainability and optimization performance,Multiple random initializations,Simulation,unclear,Barren-plateau failure is central,Trainability mitigation is not performance advantage,Freeze small initialization range and retain nonconverged seeds,partial,not_applicable,partial,unclear,partial,strong,partial,partial,strong,https://quantum-journal.org/papers/q-2019-12-09-214/,10.22331/q-2019-12-09-214,included_primary_or_authoritative_record
E008,"Zavoli and Federici, Reinforcement Learning for Low-Thrust Trajectory Design of Interplanetary Missions",2020,primary classical RL research,Interplanetary low-thrust trajectory design,Simulated low-thrust interplanetary dynamics,Learn transfer control under trajectory objectives,Simulation and training stochasticity; not human-rated uncertainty,Simulated trajectories,Deep reinforcement learning,not_applicable,not_applicable,RL hyperparameters reported in paper,Evaluation episodes; not frozen mission grouping,Numerical trajectory references,"Transfer success, cost, and control performance",Seed reporting limited relative to this protocol,Classical simulation,public,Training/convergence limits discussed,Low-thrust interplanetary control differs from Orion correction prediction,"Retain as later control precedent, not a Phase 1 QML comparator",partial,partial,partial,unclear,partial,not_applicable,not_applicable,partial,strong,https://arxiv.org/abs/2008.08501,,included_primary_or_authoritative_record
E009,"Izzo et al., Real-Time Guidance for Low-Thrust Transfers Using Deep Artificial Neural Networks",2021,primary classical surrogate guidance research,Low-thrust transfer guidance surrogate,Optimized low-thrust transfer simulations,Approximate optimal guidance/control in real time,Task-specific simulated variation,Simulated optimizer solutions; full dataset availability unclear,Deep artificial neural network,not_applicable,not_applicable,Paper-specific supervised training,Reported evaluation split; mission grouping not established,Numerical optimal guidance,Guidance approximation error and runtime,Limited transfer to human-rated cislunar uncertainty,Classical simulation,not_verified_public,Domain and generalization boundaries reported,Different propulsion regime and mission task,Supports MLP baseline and independent repropagation requirement,partial,partial,partial,unclear,partial,not_applicable,not_applicable,partial,partial,https://arc.aiaa.org/doi/10.2514/1.G005254,10.2514/1.G005254,included_primary_or_authoritative_record
E010,"Sullivan et al., Multi-Objective Reinforcement Learning for Low-Thrust Transfer Design Between Libration Point Orbits",2021,primary cislunar RL research,Earth-Moon CR3BP low-thrust transfers between libration-point orbits,Earth-Moon CR3BP with low-thrust acceleration and mass flow,Multi-objective flight time and propellant use,Training stochasticity; no crewed mission covariance,Simulated transfers,Multi-Reward PPO with moving reference,not_applicable,not_applicable,PPO/MRPPO settings and grid-search lineage reported,Policy evaluation; not supervised grouped holdout,Gradient-descent local optima,Recovered solution-space objectives,Multiple policies/agents; limited confirmatory seed reporting,Classical simulation,not_verified_public,Need for a reference trajectory and convergence difficulty are explicit,"SmallSat low-thrust design, not Orion correction-burn planning",Supports cislunar classical baseline and explicit nonconvergence retention,partial,partial,strong,unclear,partial,not_applicable,not_applicable,partial,strong,https://ntrs.nasa.gov/api/citations/20210018983/downloads/Multi_Objective_Reinforcement_Learning_for_Low_Thrust_Transfer_Design_between_Libration_Point_Orbits.pdf,,included_primary_or_authoritative_record
